20.D0174.110     HEAD ML SMD 10P ST 53261-1071         1 SNIFFER_BD1
20.D0201.103     HEAD SMD ML 1R3P SMT 1734260-3        1 FAN1
20.F0157.028     CONN CTR SMD 28P 53364-2871           1 RIO1
20.F0693.012     CONN CTR SMD 12P 53780-1270           1 CAMERA1
20.F0694.025     CONN CTR 25P FH28D-50(25)SB-1S        1 KB1
20.F0992.052     CONN CTR 52P A54452-A0G16-N           3 MINI3
20.F0992.052     CONN CTR 52P A54452-A0G16-N           3 MINI2
20.F0992.052     CONN CTR 52P A54452-A0G16-N           3 MINI1
20.F1044.040     CONN CTR 40P QT500406-1111-7F         1 CDROM1
20.F1064.030     CONN CTR 30P QTS0030A-2021-9F         1 NEW1
20.F1089.028     CONN CTR SMD 28P 53353-2871           1 CN5
20.K0178.008     CONN FPC8P SMD GB20080-0011-7F        1 CAP1
20.K0228.006     CONN FPC 6P SMD 87151-0607G           1 CN2
22.10088.D81     SKT AUJACK 5P JAS333L-B3PY4-7F        3 MIC1
22.10088.D81     SKT AUJACK 5P JAS333L-B3PY4-7F        3 LOUT2
22.10088.D81     SKT AUJACK 5P JAS333L-B3PY4-7F        3 LOUT1
22.10245.N11     SKT RJ45 JACK JM3611L-R2555-7F        1 RJ1
22.10300.051     SKT SATA 22P 1775666-3                1 HDD1
34.45X06.001     BOSS CDC S-NOTE ROHS                  2 H32
34.45X06.001     BOSS CDC S-NOTE ROHS                  2 H28
34.47M04.001     BOSS CRMA_BD CU M2*L1.5 NI            2 H27
34.47M04.001     BOSS CRMA_BD CU M2*L1.5 NI            2 H26
34.4Q102.001     STANDOFF H=5.0                        1 H20
62.10017.891     SKT DIMM 200P ASOA426-N2RN-7F         1 DM2
62.10017.B51     SKT SDIMM 200P AS0A426-NARN-7F        1 DM1
62.10051.581     SKT 41P SD/MMC/ 144-1400000900        1 CARD1
63.24034.1DL     CHIP RES 24 J 1/16W 0402              1 R420
64.10025.55L     CHIP RES 10K F 1/10W 0603             4 R25
64.10025.55L     CHIP RES 10K F 1/10W 0603             4 R22
64.10025.55L     CHIP RES 10K F 1/10W 0603             4 R23
64.10025.55L     CHIP RES 10K F 1/10W 0603             4 R24
64.10715.6DL     CHIP RES 1.07K F 1/16W 0402           2 R371
64.10715.6DL     CHIP RES 1.07K F 1/16W 0402           2 R358
64.11515.6DL     CHIP RES 1.15K F 1/16W 0402           2 R375
64.11515.6DL     CHIP RES 1.15K F 1/16W 0402           2 R373
64.25505.6DL     CHIP RES 255 F 1/16W 0402             1 R240
64.30925.6DL     CHIP RES 30.9K F 1/16W 0402           1 R473
64.39205.6DL     CHIP RES 392 F 1/16W 0402 (LF)        1 R365
64.40215.55L     CHIP RES 4.02K F 1/10W 0603           1 R285
64.45R35.6DL     CHIP RES 45.3 F 1/16W 0402            1 R106
66.47036.A8L     CHIP NTW 47 J 8P 3.2*1.6              2 RN66
66.47036.A8L     CHIP NTW 47 J 8P 3.2*1.6              2 RN65
68.00094.991     CHIP BEAD BLM15AG221SN1D             10 L7
68.00094.991     CHIP BEAD BLM15AG221SN1D             10 L6
68.00094.991     CHIP BEAD BLM15AG221SN1D             10 L34
68.00094.991     CHIP BEAD BLM15AG221SN1D             10 L26
68.00094.991     CHIP BEAD BLM15AG221SN1D             10 L24
68.00094.991     CHIP BEAD BLM15AG221SN1D             10 L11
68.00094.991     CHIP BEAD BLM15AG221SN1D             10 L10
68.00094.991     CHIP BEAD BLM15AG221SN1D             10 L23
68.00094.991     CHIP BEAD BLM15AG221SN1D             10 L25
68.00094.991     CHIP BEAD BLM15AG221SN1D             10 L33
68.00217.161     CHIP BEAD FCM1608KF-121T06            3 L9
68.00217.161     CHIP BEAD FCM1608KF-121T06            3 L36
68.00217.161     CHIP BEAD FCM1608KF-121T06            3 L8
68.1003N.10G     2HIP COIL 10NH LQG15HS10NJ02D         1 L12
68.1R01A.20A     CHIP CHOKE1.0UH PCMC104T-1R0MN        1 L27
68.2R550.10B     CHIP IND 2.5UH 1164AY-2R5N=P3         1 L37
68.5R850.101     CHIP IND 5.8UH SIL104R-5R8A-R         1 L20
68.HD121.301     XFORM 10/100 LAN HD121-1 SMD          1 XF1
69.43001.111     CHIP FUSE 3A32V 0603SFF300FM/3        1 F2
69.60026.001     THERM 10K TH11-3H103FT SMD            1 R279
69.80024.011     CHIP VAR5.5V MLVG0402220NV05BP        4 EC91
69.80024.011     CHIP VAR5.5V MLVG0402220NV05BP        4 C275
69.80024.011     CHIP VAR5.5V MLVG0402220NV05BP        4 C276
69.80024.011     CHIP VAR5.5V MLVG0402220NV05BP        4 EC90
71.08763.B0G     IC CTRL WPC8763LDG A5 LQFP128         1 U17
71.09228.00G     IC CODEC STAC9228X5TAEA2 LQFP         1 U30
71.0NB8M.B0U     IC VGA NB8M-GS-B-A2/H G3-128          1 U55
71.5C833.00G     IC BRI CTRL R5C833 TQFP 128P          1 U70
71.88E84.003     IC CTRL 88E8040-A0-NNC1C000 64        1 U21
72.25X16.001     IC FEPROM W25X16VSSIG SOIC 8P         1 U61
72.51232.A0U     IC VRAM HY5RS123235BFP-14 FBGA        2 U11
72.51232.A0U     IC VRAM HY5RS123235BFP-14 FBGA        2 U10
72.88088.C01     IC EEPROM AT88SC0808C-SU T&R          1 U54
74.00792.A79     IC TEMP SENSOR G792SFUF SSOP          1 U60
74.04610.C3F     IC SW AAT4610AIGV-T1 SOT23-5          1 U25
74.05281.093     IC LOAD SW G5281RC1U TDFN 8P          1 U53
74.06262.A73     IC CORE REQU ISL6262ACRZ-T QFN        1 U40
74.09018.A3D     IC LDO RT9018A-25PSP SOP-8            2 U62
74.09018.A3D     IC LDO RT9018A-25PSP SOP-8            2 U14
74.51110.B79     IC REGU TPS51100DGQ DGQ 10P           1 U3
75.36136.010     IR TSOP36136 SMD 4P                   1 U34
77.21071.09L     CHIP CAP POS 100U 6.3V M 6TPB         2 TC26
77.21071.09L     CHIP CAP POS 100U 6.3V M 6TPB         2 TC10
77.21071.L01     CHIP CAP C 100U 4V M 3528             2 TC6
77.21071.L01     CHIP CAP C 100U 4V M 3528             2 TC23
78.10492.4BL     CHIP CAP 0.1U25V Z0603Y5V(ROHS        4 EC31
78.10492.4BL     CHIP CAP 0.1U25V Z0603Y5V(ROHS        4 EC3
78.10492.4BL     CHIP CAP 0.1U25V Z0603Y5V(ROHS        4 EC28
78.10492.4BL     CHIP CAP 0.1U25V Z0603Y5V(ROHS        4 C327
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C65
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C53
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C49
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C42
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C43
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C44
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C45
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C52
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C54
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C64
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C63
78.10620.L3L     CHIP C 10U6.3V K0805 X5R T0.95       12 C62
78.15322.2BL     CHIP CAP C .015U 25V K0603 X7R        1 C1
78.22591.41L     CHIP CAP 2.2U16V Z0805Y5V(ROHS       10 C94
78.22591.41L     CHIP CAP 2.2U16V Z0805Y5V(ROHS       10 C78
78.22591.41L     CHIP CAP 2.2U16V Z0805Y5V(ROHS       10 C71
78.22591.41L     CHIP CAP 2.2U16V Z0805Y5V(ROHS       10 C293
78.22591.41L     CHIP CAP 2.2U16V Z0805Y5V(ROHS       10 C147
78.22591.41L     CHIP CAP 2.2U16V Z0805Y5V(ROHS       10 C145
78.22591.41L     CHIP CAP 2.2U16V Z0805Y5V(ROHS       10 C155
78.22591.41L     CHIP CAP 2.2U16V Z0805Y5V(ROHS       10 C313
78.22591.41L     CHIP CAP 2.2U16V Z0805Y5V(ROHS       10 C72
78.22591.41L     CHIP CAP 2.2U16V Z0805Y5V(ROHS       10 C91
78.22593.4BL     CHIP CAP 2.2U10V Z0603Y5V(ROHS        8 C680
78.22593.4BL     CHIP CAP 2.2U10V Z0603Y5V(ROHS        8 C388
78.22593.4BL     CHIP CAP 2.2U10V Z0603Y5V(ROHS        8 C376
78.22593.4BL     CHIP CAP 2.2U10V Z0603Y5V(ROHS        8 C374
78.22593.4BL     CHIP CAP 2.2U10V Z0603Y5V(ROHS        8 C379
78.22593.4BL     CHIP CAP 2.2U10V Z0603Y5V(ROHS        8 C430
78.22593.4BL     CHIP CAP 2.2U10V Z0603Y5V(ROHS        8 C668
78.22593.4BL     CHIP CAP 2.2U10V Z0603Y5V(ROHS        8 C453
82.10026.021     RESO 32.768KHZ 20PPM SM-14J           2 X2
82.10026.021     RESO 32.768KHZ 20PPM SM-14J           2 X1
83.00056.E11     DIODE SW BAW56PT 85V.15A SOT23        3 D30
83.00056.E11     DIODE SW BAW56PT 85V.15A SOT23        3 D26
83.00056.E11     DIODE SW BAW56PT 85V.15A SOT23        3 D28
83.00110.F70     CHIP LED BLUE LTST-S110TBKT-5A        2 LED3
83.00110.F70     CHIP LED BLUE LTST-S110TBKT-5A        2 LED2
83.01220.I70     LED O/B 12-22UYOSUBC/S530-A4/T        1 LED1
83.9R103.D3F     DIODE ZEN MMPZ5239BPT SC-76           1 D14
83.R0304.A8H     DIODE S.B CH731UPT 0.03A40V           1 D29
84.00144.J1K     XTOR CHDTC144EUPT NPN SOT-323         2 Q24
84.00144.J1K     XTOR CHDTC144EUPT NPN SOT-323         2 Q22
84.02003.A37     FET MOS P2003EVG PC SO-8(ROHS)        3 U50
84.02003.A37     FET MOS P2003EVG PC SO-8(ROHS)        3 U37
84.02003.A37     FET MOS P2003EVG PC SO-8(ROHS)        3 U46
84.04712.037     FET MOS AO4712 NC SO-8                2 U68
84.04712.037     FET MOS AO4712 NC SO-8                2 U65
84.04835.F37     FET MOS NTMFS4835NT1G NC SO8          2 U58
84.04835.F37     FET MOS NTMFS4835NT1G NC SO8          2 U38
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q7
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q5
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q42
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q34
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q26
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q18
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q10
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q12
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q15
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q20
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q32
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q40
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q48
84.27002.F31     XTOR 2N7002PT NC SOT-23              14 Q6
84.S0610.B31     FET MOS NDS0610_NL PC SOT-23          2 Q35
84.S0610.B31     FET MOS NDS0610_NL PC SOT-23          2 Q16
HU641            IC SB ICH8M SLA5Q MM#888654 B3        1 U19
YN310            IC NB PM965 SLA5U MM#891182 C0        1 U57
